# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 10 21:48:38 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
#
pl_name,hostname,pl_orbper,pl_bmassj,pl_orbeccen,pl_eqt
11 Com b,11 Com,326.03000000,19.40000,0.231000,
11 Com b,11 Com,,17.10000,,
11 UMi b,11 UMi,,10.80000,,
11 UMi b,11 UMi,516.21997000,14.74000,0.080000,
11 UMi b,11 UMi,516.22000000,10.50000,0.080000,
14 And b,14 And,,3.20000,,
14 And b,14 And,185.84000000,4.80000,0.000000,
14 Her b,14 Her,1766.41000000,4.85000,0.367400,
14 Her b,14 Her,1724.00000000,4.89000,0.370000,
14 Her b,14 Her,1766.00000000,4.97500,0.359000,
14 Her b,14 Her,,4.53300,0.357000,
14 Her b,14 Her,1773.40000000,4.64000,0.369000,
14 Her b,14 Her,1773.40002000,4.66000,0.370000,
14 Her b,14 Her,1796.40000000,4.74000,0.338000,
16 Cyg B b,16 Cyg B,800.80000000,1.50000,0.634000,
16 Cyg B b,16 Cyg B,798.50000000,1.78000,0.680000,
16 Cyg B b,16 Cyg B,799.50000000,1.68000,0.689000,
16 Cyg B b,16 Cyg B,798.50000000,1.68000,0.681000,
16 Cyg B b,16 Cyg B,799.45000000,1.75200,0.683200,
16 Cyg B b,16 Cyg B,799.50000000,1.68000,0.689000,
17 Sco b,17 Sco,578.38000000,4.32000,0.060000,
18 Del b,18 Del,993.30000000,10.30000,0.080000,
18 Del b,18 Del,,9.84000,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,12.00000,,1700
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,8.00000,,1700
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,8.00000,,1800
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,8.00000,,1800
24 Boo b,24 Boo,30.35060000,0.91000,0.042000,
24 Sex b,24 Sex,452.80000000,1.99000,0.090000,
24 Sex c,24 Sex,883.00000000,0.86000,0.290000,
2M0437 b,2MASS J04372171+2651014,,4.00000,,1450
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,13.00000,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,,,1600
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,24.50000,,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,13.90000,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,7.50000,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,5.00000,,1250
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,4.00000,,1150
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.00000000,1.86000,0.330000,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,416.00000000,1.90000,,
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,7336.50000000,20.95000,0.260000,2075
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,12.50000,,
30 Ari B b,30 Ari B,345.40000000,6.60000,0.180000,
30 Ari B b,30 Ari B,335.10000000,9.88000,0.289000,
30 Ari B b,30 Ari B,335.10001000,13.82000,0.290000,
4 UMa b,4 UMa,269.30000000,7.10000,0.432000,
42 Dra b,42 Dra,479.10000000,3.88000,0.380000,
47 UMa b,47 UMa,1083.20000000,2.60000,0.049000,
47 UMa b,47 UMa,1100.80000000,2.76000,0.097000,
47 UMa b,47 UMa,1078.00000000,2.53000,0.032000,
47 UMa b,47 UMa,1076.60000000,2.43800,0.016000,
47 UMa b,47 UMa,1076.60000000,2.45000,0.012000,
47 UMa c,47 UMa,7586.00000000,1.34000,0.005000,
47 UMa c,47 UMa,2287.00000000,0.49700,0.179000,
47 UMa c,47 UMa,2391.00000000,0.54000,0.098000,
47 UMa d,47 UMa,14002.00000000,1.64000,0.160000,
47 UMa d,47 UMa,19000.00000000,1.51000,0.380000,
51 Eri b,51 Eri,11688.00000000,,0.450000,
51 Eri b,51 Eri,,2.00000,,700
51 Eri b,51 Eri,14965.00000000,,0.210000,
51 Peg b,51 Peg,4.23079690,0.46400,0.004200,
51 Peg b,51 Peg,4.23078500,0.47200,0.013000,
51 Peg b,51 Peg,4.23077000,0.46800,0.000000,
51 Peg b,51 Peg,4.23100000,0.46000,0.000000,
51 Peg b,51 Peg,4.22930000,0.47000,0.000000,
55 Cnc b,55 Cnc,14.64700000,0.91000,0.030000,
55 Cnc b,55 Cnc,14.60000000,0.80000,0.000000,700
55 Cnc b,55 Cnc,14.65162000,0.82400,0.014000,
55 Cnc b,55 Cnc,14.65160000,0.80360,0.000000,
55 Cnc b,55 Cnc,14.65300000,0.84000,0.020000,
55 Cnc b,55 Cnc,14.65100000,0.80000,0.004000,
55 Cnc b,55 Cnc,14.65126000,0.82000,0.015900,
55 Cnc b,55 Cnc,14.67000000,0.78400,0.019700,
55 Cnc b,55 Cnc,14.65152000,0.83060,0.003400,
55 Cnc b,55 Cnc,14.65171000,0.84100,0.004800,
55 Cnc b,55 Cnc,14.46531400,0.84000,0.002300,
55 Cnc b,55 Cnc,14.64800000,0.84000,0.051000,
55 Cnc c,55 Cnc,44.41750000,0.17140,0.020000,
55 Cnc c,55 Cnc,44.34460000,0.16900,0.086000,
55 Cnc c,55 Cnc,44.39890000,0.16110,0.030000,
55 Cnc c,55 Cnc,44.38000000,0.16500,0.070000,
55 Cnc c,55 Cnc,43.93000000,0.21700,0.440000,
55 Cnc c,55 Cnc,44.37870000,0.16500,0.053000,
55 Cnc c,55 Cnc,44.38270000,0.17100,0.048000,
